PN,,rb,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
432,0.04809093848,432,0.01949195005,
431,0.04966732115,431,0.0193676427,
430,0.05111964047,430,0.01912262477,
429,0.0526051484,429,0.01891105436,
428,0.05411704257,428,0.01864040643,
427,0.05558054894,427,0.0184601862,
426,0.05707442388,426,0.01824032515,
425,0.05864843726,425,0.01800071821,
424,0.06013293937,424,0.01760292426,
423,0.06180392578,423,0.01743660681,
422,0.06340263784,422,0.01710319147,
421,0.0649118945,421,0.01684270985,
420,0.06656307727,420,0.01653728448,
419,0.068224594,419,0.01617820188,
418,0.0698523894,418,0.01584470272,
417,0.07141426206,417,0.01550915465,
416,0.0728283748,416,0.01515282318,
415,0.07423599809,415,0.01480848715,
414,0.07552690059,414,0.0145192109,
413,0.07680030912,413,0.01410226244,
412,0.07811777294,412,0.01385022793,
411,0.07908816636,411,0.0134573644,
410,0.08010138571,410,0.01318019349,
409,0.08099231124,409,0.01286909357,
408,0.08164501935,408,0.01246941648,
407,0.08230968565,407,0.0121382745,
406,0.0830000639,406,0.01198757999,
405,0.08335196972,405,0.01156000141,
404,0.0838650614,404,0.01140719559,
403,0.08428819478,403,0.01118022576,
402,0.0846651122,402,0.01089656726,
401,0.08496611565,401,0.01073226612,
400,0.08514066786,400,0.01047759131,
399,0.08557154238,399,0.01038221642,
398,0.08572871238,398,0.01000503171,
397,0.08605563641,397,0.009921200573,
396,0.08631332964,396,0.009782631882,
395,0.08648956567,395,0.009718247689,
394,0.08676426858,394,0.009605703875,
393,0.08680697531,393,0.00944345165,
392,0.08701943606,392,0.009359385818,
391,0.08721722662,391,0.00939215906,
390,0.08728539199,390,0.009355842136,
389,0.08739240468,389,0.009419140406,
388,0.08753067255,388,0.009493428282,
387,0.08772381395,387,0.009576356038,
386,0.08781889826,386,0.009764840826,
385,0.08800274879,385,0.009920167737,
384,0.08834985644,384,0.01000521705,
383,0.08867491037,383,0.01028296538,
382,0.08897238225,382,0.01056367718,
381,0.08945061266,381,0.01096295752,
380,0.09000121802,380,0.01121194102,
379,0.09063430876,379,0.01163651794,
378,0.09123987705,378,0.01200125832,
377,0.09207713604,377,0.01252110116,
376,0.09284823388,376,0.01306130737,
375,0.09383958578,375,0.01373529993,
374,0.09491448849,374,0.01437477861,
373,0.09585049003,373,0.01515362691,
372,0.09691880643,372,0.01591880992,
371,0.09783537686,371,0.01681041904,
370,0.09883094579,370,0.01773311757,
369,0.09983726591,369,0.01877372339,
368,0.1005529985,368,0.01982449368,
367,0.1011775658,367,0.02100823261,
366,0.1015439257,366,0.02216619439,
365,0.1016331539,365,0.02333263122,
364,0.1014077365,364,0.0245422814,
363,0.1008504555,363,0.02581250295,
362,0.09994500875,362,0.02708997391,
361,0.09862886369,361,0.02837254293,
360,0.09703605622,360,0.02943785116,
359,0.09528727084,359,0.03045499139,
358,0.09325323254,358,0.03153569624,
357,0.09093175828,357,0.03222648427,
356,0.08856713772,356,0.03277723864,
355,0.08630599827,355,0.03325247765,
354,0.08412443846,354,0.03359525651,
353,0.08181652427,353,0.03359458596,
352,0.07961396128,352,0.03373967856,
351,0.07759230584,351,0.03357716277,
350,0.07559834421,350,0.0334732756,
349,0.07313169539,349,0.03501818702,
348,0.07128002495,348,0.03252713382,
347,0.06956508756,347,0.03282511607,
346,0.06760791689,346,0.03368755803,
345,0.06588292867,345,0.03207891434,
344,0.06382223219,344,0.03332413733,
343,0.06211911142,343,0.03333732858,
342,0.0601218231,342,0.03327335417,
341,0.05818295479,341,0.03471050784,
340,0.05635103956,340,0.03471328318,
339,0.05481224507,339,0.03577893227,
338,0.05298735946,338,0.03694608808,
337,0.05199661478,337,0.03831516579,
336,0.0508868061,336,0.04008143395,
335,0.05015514046,335,0.04175929353,
334,0.04948164523,334,0.04380357265,
333,0.04919947311,333,0.04637537897,
332,0.04889106005,332,0.0493077077,
331,0.04974150658,331,0.05252334103,
330,0.05018730462,330,0.05551742017,
329,0.05117590353,329,0.05930058286,
328,0.05226590112,328,0.06309399754,
327,0.05336045101,327,0.06690952182,
326,0.05478596315,326,0.07113019377,
325,0.05630978197,325,0.07561229914,
324,0.05751262605,324,0.07990373671,
323,0.05889244005,323,0.0843776837,
322,0.06021093205,322,0.08901451528,
321,0.06048797444,321,0.09316920489,
320,0.06117844209,320,0.09736803919,
319,0.06132893637,319,0.1007632837,
318,0.06103574485,318,0.1039058194,
317,0.0603544265,317,0.1062630042,
316,0.06003600359,316,0.1082327962,
315,0.05909597129,315,0.1091712564,
314,0.0588048771,314,0.1097738445,
313,0.05761893466,313,0.1091929227,
312,0.05747228861,312,0.1087507829,
311,0.05668919161,311,0.1074647456,
310,0.05628505722,310,0.1062153354,
309,0.05553133413,309,0.1047807634,
308,0.05501155555,308,0.1031810269,
307,0.05397512019,307,0.1013694182,
306,0.05335483328,306,0.1001692414,
305,0.05251568928,305,0.0983254239,
304,0.05169344321,304,0.09714294225,
303,0.05068690702,303,0.09572394937,
302,0.04962271452,302,0.0945148617,
301,0.04895456508,301,0.09370433539,
300,0.04757940397,300,0.09265811741,
299,0.04691842571,299,0.09172352403,
298,0.04574409872,298,0.09065967053,
297,0.04504257441,297,0.09025571495,
296,0.04417840019,296,0.08966262639,
295,0.04365244508,295,0.08947475255,
294,0.0430467464,294,0.08962205052,
293,0.0429039672,293,0.09018637985,
292,0.04245105013,292,0.09074081481,
291,0.04220039025,291,0.09182530642,
290,0.04184249043,290,0.09304593503,
289,0.04148257524,289,0.09539866447,
288,0.04135765135,288,0.09798356146,
287,0.04133176804,287,0.1011167243,
286,0.04116889089,286,0.1047382951,
285,0.04130344093,285,0.1089087576,
284,0.04097808152,284,0.1133850142,
283,0.04128231853,283,0.1186937317,
282,0.04134421051,282,0.1245217249,
281,0.04195335507,281,0.1310178339,
280,0.04243669286,280,0.1379076093,
279,0.04271762073,279,0.1456121653,
278,0.04310840368,278,0.1540533006,
277,0.04363707453,277,0.163437888,
276,0.04445864633,276,0.1736250073,
275,0.04510962963,275,0.1846728027,
274,0.04583798721,274,0.1961084306,
273,0.04650507122,273,0.2085893303,
272,0.04758983105,272,0.2215672731,
271,0.04863242805,271,0.2346560955,
270,0.04994050786,270,0.2475307584,
269,0.05157128721,269,0.2591930926,
268,0.05398995429,268,0.2693492472,
267,0.05668007582,267,0.2772577405,
266,0.06059864536,266,0.2830896676,
265,0.06579270214,265,0.2869649529,
264,0.07323209196,264,0.2887621522,
263,0.08354329318,263,0.2891940773,
262,0.09774819016,262,0.2885709703,
261,0.1155405641,261,0.2869686186,
260,0.1377309412,260,0.2849833369,
259,0.1640508771,259,0.282659024,
258,0.1932014376,258,0.2802147567,
257,0.2180260718,257,0.2776443958,
256,0.231678322,256,0.2752735913,
255,0.2334685177,255,0.2732621729,
254,0.2308961004,254,0.2720442116,
253,0.2295600474,253,0.2720057964,
252,0.2312529832,252,0.2734338641,
251,0.2344307303,251,0.2761217952,
250,0.2386199087,250,0.279708147,
249,0.2412340194,249,0.2841012776,
248,0.2406671494,248,0.2895688415,
247,0.235218823,247,0.2957035303,
246,0.2273245156,246,0.3028452396,
245,0.2175073773,245,0.3101771772,
244,0.2088293731,244,0.318320483,
243,0.2008548826,243,0.3267522454,
242,0.1947033554,242,0.3353871703,
241,0.1897340417,241,0.3440414667,
240,0.185959965,240,0.3527968228,
239,0.1822312176,239,0.3613040447,
238,0.1793000549,238,0.3696984947,
237,0.17675969,237,0.3780441284,
236,0.176420331,236,0.3874723911,
235,0.1785821021,235,0.3987812102,
234,0.1839125603,234,0.4120658338,
233,0.1924320608,233,0.4275620878,
232,0.2031764835,232,0.4449481368,
231,0.2156827152,231,0.4638003707,
230,0.2281690389,230,0.4828841984,
229,0.2406424135,229,0.5018041134,
228,0.252096951,228,0.5198725462,
227,0.2641397119,227,0.5381475687,
226,0.2756708562,226,0.555613637,
225,0.2870264053,225,0.5724819303,
224,0.2967813611,224,0.5875871778,
223,0.3062819541,223,0.6019080281,
222,0.3147713542,222,0.6143915653,
221,0.3228905797,221,0.6254179478,
220,0.3304697275,220,0.6347495317,
219,0.3381620049,219,0.6433212757,
218,0.3451858759,218,0.6503025293,
217,0.3512320518,217,0.6565660834,
216,0.3569538593,216,0.6622561812,
215,0.3633141816,215,0.6680393219,
214,0.3704001009,214,0.6730531454,
213,0.37890625,213,0.6762226224,
212,0.3897343278,212,0.6769540906,
211,0.4032699466,211,0.6742608547,
210,0.4197058976,210,0.6676879525,
209,0.4394432008,209,0.6579216719,
208,0.4623452127,208,0.6449923515,
207,0.4877220392,207,0.6294586658,
206,0.5153743029,206,0.6125329733,
205,0.5405180454,205,0.5938485265,
204,0.5626531243,204,0.5750043392,
203,0.5786679983,203,0.555442512,
202,0.5899569392,202,0.5381118655,
201,0.5980529189,201,0.5206946135,
200,0.6074142456,200,0.5056635141,

