RB,,RB2,,Lig,,Jug,,PN,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
678,0.003697534557,678,0.004097839352,678,0.01689526625,678,0.002608972369,678,0.005429390818,
677,0.003720796667,677,0.004119163379,677,0.01693087444,677,0.002658975776,677,0.005446114112,
676,0.003784506582,676,0.004175613169,676,0.01703283936,676,0.002659001853,676,0.005486928858,
675,0.003768082242,675,0.004204494879,675,0.01709834486,675,0.0026220195,675,0.005554228555,
674,0.003848722205,674,0.004217406735,674,0.01721923053,674,0.002723832615,674,0.005596521776,
673,0.003745496273,673,0.004194876179,673,0.01721475832,673,0.002642177045,673,0.005537789315,
672,0.003821431426,672,0.004238815047,672,0.0172554832,672,0.00263712462,672,0.005570773035,
671,0.003874186426,671,0.004223052878,671,0.01732870005,671,0.00260160258,671,0.005609265994,
670,0.0037930978,670,0.004191713408,670,0.01735550538,670,0.002589753829,670,0.005577669013,
669,0.003853370901,669,0.004263622221,669,0.01742229797,669,0.002670618007,669,0.005607089493,
668,0.003847311949,668,0.004280065652,668,0.01755507849,668,0.002686688444,668,0.005604021251,
667,0.003819707781,667,0.004283934832,667,0.01756553724,667,0.002620899817,667,0.005600559991,
666,0.003808008507,666,0.004277529661,666,0.0176214166,666,0.002592748497,666,0.005607194267,
665,0.003830414964,665,0.00425136229,665,0.01770639606,665,0.002549652942,665,0.005639055744,
664,0.003892390989,664,0.004319176544,664,0.01777518541,664,0.002582853194,664,0.005686996039,
663,0.00389534235,663,0.004339726642,663,0.01780466177,663,0.002572593279,663,0.005646660924,
662,0.003901950549,662,0.004320483655,662,0.01787020266,662,0.002537154593,662,0.005662369542,
661,0.0038736118,661,0.00436908938,661,0.01794236153,661,0.002578191925,661,0.005692110397,
660,0.003885051468,660,0.004333190154,660,0.01795973629,660,0.002535618376,660,0.005644483957,
659,0.003887193277,659,0.004397878889,659,0.01804267615,659,0.002523432951,659,0.005672466476,
658,0.003948498052,658,0.004402088933,658,0.01813680679,658,0.002526791766,658,0.005714010913,
657,0.003932276275,657,0.004358682781,657,0.01810047962,657,0.00246061082,657,0.005674276035,
656,0.00392958615,656,0.004380960483,656,0.01821246557,656,0.0024574087,656,0.005727283191,
655,0.003947322723,655,0.004434097558,655,0.01825930364,655,0.002473887755,655,0.005729250144,
654,0.003923081793,654,0.004402507562,654,0.01830679551,654,0.002468056278,654,0.005696070846,
653,0.003975509666,653,0.004485750105,653,0.01840100996,653,0.002544210991,653,0.005730587989,
652,0.003940948751,652,0.004418511409,652,0.01838569902,652,0.002450458007,652,0.005739034154,
651,0.003943012562,651,0.004445316736,651,0.01845108345,651,0.002428461099,651,0.005690930411,
650,0.003943744116,650,0.004481852986,650,0.01847606711,650,0.002399020828,650,0.005708660465,
649,0.003963780124,649,0.004487607162,649,0.01856845431,649,0.002461834345,649,0.005774656311,
648,0.004010020755,648,0.004562494811,648,0.0186350029,648,0.002448661719,648,0.005799656734,
647,0.003926843405,647,0.004510911647,647,0.0186864268,647,0.002453946276,647,0.005711965263,
646,0.003986769356,646,0.004565398209,646,0.01872109994,646,0.002484041033,646,0.005790579598,
645,0.003978592344,645,0.004570002668,645,0.01876161434,645,0.002424061997,645,0.005764583126,
644,0.004040484782,644,0.004640038125,644,0.01887906902,644,0.002497240901,644,0.00582019845,
643,0.003972217906,643,0.004593285266,643,0.01888320595,643,0.002448115032,643,0.005763900932,
642,0.003964851145,642,0.004624104127,642,0.01894523203,642,0.002459257143,642,0.005788271315,
641,0.003995207604,641,0.004660184495,641,0.01901857182,641,0.00248122937,641,0.005778905936,
640,0.004005448893,640,0.004675282165,640,0.01910368912,640,0.002572332975,640,0.005838405807,
639,0.003952181432,639,0.004673110321,639,0.0190372318,639,0.002442283789,639,0.005755612161,
638,0.003976162523,638,0.004711890128,638,0.01914518513,638,0.00250174501,638,0.005772374105,
637,0.003955681808,637,0.004704223014,637,0.01926290803,637,0.002570718527,637,0.005807526875,
636,0.004003985785,636,0.004758681636,636,0.01932942681,636,0.002602514112,636,0.005844545085,
635,0.003970885649,635,0.004736175295,635,0.01935619302,635,0.00265840278,635,0.005813927855,
634,0.003973471932,634,0.004816576373,634,0.01944357157,634,0.002649886301,634,0.005833499599,
633,0.003975378815,633,0.004766794853,633,0.01951358281,633,0.002677858807,633,0.005879677366,
632,0.004023397341,632,0.00484057935,632,0.01960692182,632,0.002738576382,632,0.005916413385,
631,0.003954401705,631,0.004878274165,631,0.01965041645,631,0.002694971394,631,0.005873354152,
630,0.003872749861,630,0.004779645242,630,0.01963760704,630,0.002709792461,630,0.005835178774,
629,0.003962447867,629,0.004859216977,629,0.01971138828,629,0.002785364166,629,0.005940844305,
628,0.003917596303,628,0.004847777542,628,0.01977453381,628,0.002773979446,628,0.005880726967,
627,0.003911197186,627,0.004925816786,627,0.01979729161,627,0.002780388342,627,0.005877447315,
626,0.00392958615,626,0.004906705115,626,0.01989259012,626,0.00281230337,626,0.005924154539,
625,0.003886409802,625,0.004973495379,625,0.01994513907,625,0.002862408292,625,0.005908777472,
624,0.003919451032,624,0.00496456679,624,0.01999904774,624,0.002816185588,624,0.00592706725,
623,0.003906234168,623,0.005019189324,623,0.02004938759,623,0.002801751718,623,0.005931397434,
622,0.003944370896,622,0.005038803443,622,0.02010355331,622,0.002884270856,622,0.006003306247,
621,0.003865436884,621,0.005007274449,621,0.02010629326,621,0.002816888969,621,0.005940267351,
620,0.003974804189,620,0.005046031438,620,0.02015574835,620,0.002844064496,620,0.006053701974,
619,0.00395620428,619,0.005099302158,619,0.02019628882,619,0.002843595576,619,0.006027243566,
618,0.004023110028,618,0.005110774189,618,0.02027374506,618,0.002892114455,618,0.00606840197,
617,0.004041608423,617,0.005136024673,617,0.02037085593,617,0.002904779278,617,0.006098984275,
616,0.004063190427,616,0.005185481627,616,0.02034996822,616,0.002937668003,616,0.006130881608,
615,0.004016029648,615,0.005098202266,615,0.02031907067,615,0.002824705327,615,0.00612038048,
614,0.004138031509,614,0.005247755907,614,0.02047995664,614,0.002905769739,614,0.00626763422,
613,0.004173418041,613,0.005233948585,613,0.02052845061,613,0.002893678145,613,0.006261908915,
612,0.004210846033,612,0.005298300181,612,0.02059258521,612,0.002958309371,612,0.006322972011,
611,0.004311751109,611,0.005384413991,611,0.02065314539,611,0.002967822365,611,0.006447988097,
610,0.004361742176,610,0.00543342717,610,0.02072446421,610,0.002978326054,610,0.006449512206,
609,0.004407266621,609,0.005504074041,609,0.02082463726,609,0.00295622414,609,0.006468507927,
608,0.004478662275,608,0.005559603218,608,0.02082251944,608,0.002960602753,608,0.006561030168,
607,0.004522341769,607,0.005626101047,607,0.02095112763,607,0.003052771557,607,0.006646448281,
606,0.004513867199,606,0.005648890045,606,0.02094268054,606,0.003015338676,606,0.006593066733,
605,0.004627557937,605,0.005740476772,605,0.02104428783,605,0.003052406479,605,0.006670000497,
604,0.004658640828,604,0.005813114811,604,0.02108037286,604,0.003096412402,604,0.006659670267,
603,0.004750464112,603,0.005983648356,603,0.02115108445,603,0.00314944447,603,0.006696603261,
602,0.004797704984,602,0.00602522213,602,0.0211818777,602,0.003112733364,602,0.00665496476,
601,0.004923486616,601,0.006213826127,601,0.02129572071,601,0.003141257213,601,0.00668982137,
600,0.00497116521,600,0.006369438488,600,0.02131113596,600,0.003134504193,600,0.006690925453,
599,0.005147183314,599,0.006530204788,599,0.02140627801,599,0.003147019539,599,0.006683301646,
598,0.005264131818,598,0.006656042766,598,0.02141277678,598,0.003130619181,598,0.006683012471,
