RB,,lig,,jug,,PN,,blank,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
676,0.001912778476,676,-0.001353330328,676,0.01034178678,676,0.004973574076,676,-0.0001702445297,
675,0.001979916357,675,-0.001312297769,675,0.01040443406,675,0.005030083004,675,-0.0001190073745,
674,0.001929574995,674,-0.001284217811,674,0.01040416863,674,0.005040505901,674,-9.597456665E-5,
673,0.001925570774,673,-0.00127415196,673,0.01041329,673,0.00497566862,673,-0.000134430913,
672,0.001952586696,672,-0.001314413967,672,0.01041477453,672,0.00499399798,672,-0.0001131587123,
671,0.001942003728,671,-0.001281636884,671,0.01042951643,671,0.005053181201,671,-0.0001049290368,
670,0.001891744905,670,-0.001306465128,670,0.01041739993,670,0.004983497784,670,-0.0001589107706,
669,0.001919850591,669,-0.001287727966,669,0.01044900622,669,0.004996040836,669,-0.000136966948,
668,0.00191935664,668,-0.001246740809,668,0.01050177682,668,0.005008531269,668,-0.0001022892975,
667,0.001936829416,667,-0.001216126955,667,0.01050551608,667,0.005024243146,667,-0.0001026516184,
666,0.001924114767,666,-0.001190415816,666,0.01049997285,666,0.005021912511,666,-0.0001244419109,
665,0.001956513152,665,-0.00116960844,665,0.01054065581,665,0.005019608419,665,-9.887314081E-5,
664,0.001977887936,664,-0.001147095929,664,0.01052705012,664,0.005054909736,664,-0.000117040574,
663,0.001953444676,663,-0.001106818439,663,0.01058879588,663,0.005050326698,663,-9.100553143E-5,
662,0.001894110814,662,-0.00116821425,662,0.01053198334,662,0.005005965009,662,-0.0001414178987,
661,0.001953262836,661,-0.001169814961,661,0.01059630234,661,0.004998554476,661,-7.671923231E-5,
660,0.001919694594,660,-0.001120296307,660,0.01063269656,660,0.00502434792,660,-4.695460666E-5,
659,0.001890886924,659,-0.001153705176,659,0.01061304007,659,0.004976218566,659,-9.68027307E-5,
658,0.001870764187,658,-0.001157681108,658,0.0105954539,658,0.005053757224,658,-8.034261555E-5,
657,0.001847314881,657,-0.001098349458,657,0.01061545406,657,0.004989546724,657,-9.271364252E-5,
656,0.00189619069,656,-0.001084096264,656,0.01064574812,656,0.005037467927,656,-8.287896344E-5,
655,0.00187157013,655,-0.00112597656,655,0.01064256486,655,0.005013323389,655,-9.250659787E-5,
654,0.00183798233,654,-0.001082237111,654,0.01066508796,654,0.004999287426,654,-9.307597065E-5,
653,0.001903106575,653,-0.001055226894,653,0.01075282972,653,0.005026992876,653,-0.0001019787378,
652,0.001860807184,652,-0.001074645435,652,0.01068992075,652,0.005061561707,652,-5.45124276E-5,
651,0.001843675389,651,-0.001053522574,651,0.01078443415,651,0.005053155124,651,-7.268171612E-5,
650,0.00181942177,650,-0.001038544811,650,0.01076477114,650,0.005031497218,650,-6.662536907E-5,
649,0.001873909961,649,-0.0009944349295,649,0.01078241784,649,0.00507497089,649,-3.737772931E-5,
648,0.001912076492,648,-0.001005695318,648,0.01081049442,648,0.005070125684,648,-2.816302003E-5,
647,0.001882203389,647,-0.0009526452632,647,0.01085003838,647,0.005071592517,647,-2.324497837E-5,
646,0.001938831527,646,-0.0009077000432,646,0.01087084692,646,0.005079003982,646,9.810893062E-6,
645,0.0018363446,645,-0.0009804365691,645,0.01090086717,645,0.005025343038,645,-3.893074972E-5,
644,0.001863120939,644,-0.000939833757,644,0.01088021602,644,0.005051923916,644,-2.360736107E-5,
643,0.001872324036,643,-0.0008990204078,643,0.01096616965,643,0.005096656736,643,-1.558307304E-5,
642,0.001814924646,642,-0.0009902509628,642,0.01089861058,642,0.005023981445,642,-0.0001064300595,
641,0.001839931938,641,-0.0009186009411,641,0.0109689841,641,0.005004629493,641,-2.650642273E-5,
640,0.001883919234,640,-0.0008443555562,640,0.01105718594,640,0.005083640106,640,2.153766036E-5,
639,0.001877315692,639,-0.000885897316,639,0.01100039203,639,0.005026128609,639,-4.695460666E-5,
638,0.001867982442,638,-0.0008581515867,638,0.01100925915,638,0.005054516718,638,-4.814763543E-6,
637,0.001864992781,637,-0.0008649202646,637,0.0110302344,637,0.005003660917,637,4.271205853E-6,
636,0.001921306713,636,-0.000803843257,636,0.01109834574,636,0.005059335381,636,2.498067806E-5,
635,0.001880487427,635,-0.0007880300982,635,0.01111855544,635,0.005055642687,635,4.470736894E-5,
634,0.001884465222,634,-0.0007499933708,634,0.0111601986,634,0.005105562042,634,9.612523718E-5,
633,0.001869880245,633,-0.0007516471669,633,0.01115818042,633,0.005095949862,633,5.125724056E-5,
632,0.001919304603,632,-0.00068238721,632,0.01117972098,632,0.005126358941,632,0.0001225355663,
631,0.001869854284,631,-0.0007320074365,631,0.01117037144,631,0.005108888727,631,8.569101192E-5,
630,0.001871518092,630,-0.0007847226807,630,0.01116519235,630,0.005067506805,630,3.986457614E-6,
629,0.001905108569,629,-0.0007212052005,629,0.0112135075,629,0.005094639957,629,-3.882877991E-6,
628,0.001920552691,628,-0.0006662077503,628,0.0112417182,628,0.005126778036,628,9.312180919E-5,
627,0.001899206662,627,-0.0007136589265,627,0.01124379039,627,0.005057738163,627,6.870679499E-5,
626,0.001884205267,626,-0.0007060092175,626,0.01125694066,626,0.005092125852,626,5.788488124E-5,
625,0.001945852069,625,-0.0006820770795,625,0.01130744442,625,0.005102000199,625,5.824733307E-5,
624,0.001959763467,624,-0.0006297112559,624,0.01129283197,624,0.005139010493,624,9.483065514E-5,
623,0.001901988522,623,-0.0006226287223,623,0.01126180217,623,0.0051066624,623,7.230552728E-5,
622,0.001982360613,622,-0.0005848360015,622,0.01131916232,622,0.005154387094,622,0.0001272740628,
621,0.001970710931,621,-0.0005703074276,621,0.01135739684,621,0.005123215728,621,0.0001122301692,
620,0.001959607471,620,-0.0005555198295,620,0.01131746173,620,0.005121120717,620,0.0001003197103,
619,0.001948972349,619,-0.0005727375392,619,0.01131762099,619,0.005093985237,619,5.956769746E-5,
618,0.001974507468,618,-0.0005092924112,618,0.01138822176,618,0.005177281797,618,0.0001320385054,
617,0.002036921447,617,-0.0005074308137,617,0.01134844217,617,0.005130497739,617,0.0001135506973,
616,0.002022617497,616,-0.0005055174697,616,0.01136988588,616,0.005127694923,616,0.0001245552558,
615,0.002124394057,615,-0.0004175986978,615,0.01143807638,615,0.00519687729,615,0.0001924789394,
614,0.002073827898,614,-0.0004906759714,614,0.01137174573,614,0.005088720936,614,0.0001074141619,
613,0.002139715711,613,-0.0003924092744,613,0.0114179058,613,0.005168008618,613,0.0001598752715,
612,0.002142915502,612,-0.0004380801984,612,0.01145256124,612,0.005124158692,612,0.0001343430631,
611,0.002174341585,611,-0.0004369940725,611,0.01144360472,611,0.005108469632,611,0.0001582956611,
610,0.002178348135,610,-0.0004484240199,610,0.01144121308,610,0.005091654137,610,0.0001408684038,
609,0.002224685159,609,-0.0003321452532,609,0.01146850828,609,0.005094090011,609,0.0001867297397,
608,0.00226756651,608,-0.0003374736407,608,0.01152440626,608,0.005093670916,608,0.0001758530998,
607,0.002326509217,607,-0.0002927233872,607,0.01151132863,607,0.005122639704,607,0.0001944471442,
606,0.002362399129,606,-0.0003453885147,606,0.01156614255,606,0.005081230309,606,0.0001643552241,
605,0.002425155137,605,-0.0002431047324,605,0.01157685649,605,0.005125808995,605,0.0001959751098,
604,0.002523849718,604,-0.0002332734584,604,0.01160439942,604,0.005130209494,604,0.0002258361201,
603,0.002531790873,603,-0.0002969658235,603,0.01155035198,603,0.005028354935,603,0.0001830005785,
602,0.0026989826,602,-0.0002153178648,602,0.011671138,602,0.005120649002,602,0.0002710588742,
601,0.002794222208,601,-0.0002152661182,601,0.01166964881,601,0.005050614476,601,0.0002285814699,
600,0.002973712748,600,-0.0001682262082,600,0.01178605296,600,0.005134033971,600,0.0002703595383,
599,0.00316704507,599,-0.0001193179196,599,0.01175833866,599,0.005157085136,599,0.0003104578063,
598,0.003281192156,598,-0.0001074652464,598,0.01180299651,598,0.005096892826,598,0.0002628738876,
597,0.003474165685,597,-8.929741307E-5,597,0.01184717938,597,0.005108233541,597,0.0003459224827,
596,0.003725365736,596,-5.420183516E-5,596,0.01192167122,596,0.005124499556,596,0.0003246795968,
595,0.004028309602,595,-3.763656787E-5,595,0.01191539224,595,0.005102864467,595,0.0003120120964,
594,0.004446912091,594,-2.72311845E-5,594,0.01200575568,594,0.005094587803,594,0.0003806387249,
593,0.004917150829,593,1.050983064E-5,593,0.0121130133,593,0.005170994904,593,0.0003663114621,
592,0.005435497966,592,9.506368224E-5,592,0.01221113931,592,0.005178617779,592,0.000452230277,
591,0.005997374654,591,4.918612467E-5,591,0.01218259893,591,0.005150640849,591,0.0004306194023,
590,0.006653335411,590,3.888246647E-5,590,0.0122105265,590,0.005126804579,590,0.0004194775538,
589,0.007612740621,589,8.431878086E-5,589,0.01227514818,589,0.00507944962,589,0.0003846027539,
588,0.008757961914,588,0.000137061943,588,0.0124302581,588,0.005152029451,588,0.0005091388011,
587,0.009947765619,587,0.000165960766,587,0.01246502064,587,0.005132802762,587,0.0005137260305,
586,0.01148979831,586,0.0002469187602,586,0.0125891529,586,0.005173771642,586,0.0006025513285,
585,0.01333362423,585,0.000212161438,585,0.01270639058,585,0.00512389699,585,0.0005423648399,
584,0.01537858043,584,0.0002387342392,584,0.01273669768,584,0.005116903223,584,0.0006020328728,
583,0.01795269363,583,0.0002819638175,583,0.01286352053,583,0.005133771803,583,0.0006644831738,
582,0.02106129751,582,0.0004255407548,582,0.0130656017,582,0.005162455142,582,0.0007012731512,
581,0.0245917812,581,0.0003387464385,581,0.01316186227,581,0.005160752218,581,0.0007277721888,
580,0.02885451727,580,0.0004062372318,580,0.01330490317,580,0.005132409744,580,0.0007973721949,
579,0.03375985101,579,0.0003930750536,579,0.01343787275,579,0.005120806396,579,0.0008266002988,
578,0.03960593045,578,0.0003887482162,578,0.01354222745,578,0.005129843019,578,0.0008480233955,
577,0.0465753749,577,0.0004565059207,577,0.01378312707,577,0.005116117653,577,0.0009408083861,
576,0.05461578816,576,0.0003753015772,576,0.01388045494,576,0.005073556677,576,0.0009421833092,
575,0.06422990561,575,0.0005076615489,575,0.01415106654,575,0.005141211208,575,0.001017525909,
574,0.07543586195,574,0.0005541318678,574,0.01439690776,574,0.005192449782,574,0.001045834739,
573,0.08846420795,573,0.0005967189209,573,0.01452054922,573,0.005210185889,573,0.001098798588,
572,0.1035750434,572,0.0005768116098,572,0.01475253887,572,0.005177360494,572,0.001179619227,
571,0.1209281087,571,0.0006437950069,571,0.014997622,571,0.005211024079,571,0.001223591506,
570,0.1410598904,570,0.0006599462358,570,0.01518705394,570,0.005171335302,570,0.001207523164,
569,0.1642696708,569,0.0007143409457,569,0.01558722835,569,0.005084320903,569,0.00157898583,
568,0.1905919462,568,0.0006932356046,568,0.01581691764,568,0.005127564073,568,0.001635938301,
567,0.2198541015,567,0.0008072011406,567,0.01611611247,567,0.005141892005,567,0.001654776861,
566,0.2524033487,566,0.0008544038283,566,0.01631724089,566,0.005152998492,566,0.001745681162,
565,0.2888275385,565,0.0009183171787,565,0.01660201512,565,0.005153077189,565,0.001766889705,
564,0.3281495869,564,0.0008562713047,564,0.01676126197,564,0.005126673263,564,0.001769826747,
563,0.3705303073,563,0.0008712631534,563,0.01695176028,563,0.005105169024,563,0.001737936167,
562,0.4159071743,562,0.0009365538717,562,0.01724899188,562,0.005185009912,562,0.001822645077,
561,0.4636227489,561,0.0009918394499,561,0.01741863415,561,0.005116065033,561,0.001789424918,
560,0.5130425096,560,0.001004708465,560,0.01767404191,560,0.005175972357,560,0.001814248855,
559,0.563185215,559,0.001083253883,559,0.01791109517,559,0.005176862702,559,0.001818199991,
558,0.6125920415,558,0.001109516714,558,0.01812301576,558,0.005139063112,558,0.001826856285,
557,0.6608815789,557,0.001125892857,557,0.01832075603,557,0.005132645369,557,0.001807698281,
556,0.7063007951,556,0.001170197153,556,0.01851129159,556,0.005207749549,556,0.001828909852,
555,0.7480011582,555,0.001142477267,555,0.01858604327,555,0.005133431405,555,0.001765044406,
554,0.7846630812,554,0.001238777884,554,0.01876288466,554,0.005199601874,554,0.001793895732,
553,0.8151477575,553,0.00131165341,553,0.01887141913,553,0.005143725779,553,0.00173182867,
552,0.8389441967,552,0.001244307379,552,0.01888785698,552,0.005157687701,552,0.001737806248,
551,0.8555900455,551,0.001391552854,551,0.01901927404,551,0.005174714606,551,0.001773595577,
550,0.8645196557,550,0.001297373325,550,0.01895504817,550,0.005159940105,550,0.001677696127,
549,0.8661516905,549,0.00145866198,549,0.01894139126,549,0.005191480741,549,0.00171561155,
548,0.8606379032,548,0.001425807364,548,0.01893579401,548,0.005233765114,548,0.001678917441,
547,0.8485318422,547,0.001469311072,547,0.01883746311,547,0.005212177057,547,0.00165903836,
546,0.8304474354,546,0.001551032066,546,0.0187354777,546,0.00521215098,546,0.001662520459,
545,0.8076088428,545,0.001578778028,545,0.01859028451,545,0.005220350809,545,0.001633236068,
544,0.780469358,544,0.001574439346,544,0.01836120524,544,0.005153601058,544,0.001573374146,
543,0.7504919767,543,0.001670056256,543,0.01830493286,543,0.005236358847,543,0.001547239139,
542,0.7181930542,542,0.001709322445,542,0.01812455431,542,0.005256795324,542,0.001517624827,
541,0.6845979691,541,0.001745265326,541,0.01795452833,541,0.005213591736,541,0.001525028259,
540,0.650241971,540,0.00183475879,540,0.01785795577,540,0.005248463247,540,0.001522768289,
539,0.6157095432,539,0.00183972402,539,0.0176446829,539,0.005275084171,539,0.001482713735,
538,0.5819612741,538,0.001859533368,538,0.01758284122,538,0.005269581918,538,0.001501675462,
537,0.549451232,537,0.001877783681,537,0.01739476062,537,0.005275005475,537,0.001460687956,
536,0.5181650519,536,0.001982152695,536,0.01732603274,536,0.005267564207,536,0.00148780481,
535,0.4884801805,535,0.002031876007,535,0.01719216257,535,0.005243799649,535,0.001405991847,
534,0.4606895447,534,0.001989381853,534,0.01706326194,534,0.005214953795,534,0.00141515932,
533,0.4350005388,533,0.002103089821,533,0.01703932881,533,0.005250821356,533,0.001462402171,
532,0.4113713205,532,0.002088913694,532,0.01696099341,532,0.005257869605,532,0.001439312473,
531,0.3896113932,531,0.002152801026,531,0.01693098247,531,0.005317429081,531,0.001446350943,
530,0.3700625896,530,0.002209386323,530,0.01688404381,530,0.005272647366,530,0.001449545613,
529,0.3526583016,529,0.002257184125,529,0.01686391421,529,0.005212281831,529,0.001387709402,
528,0.3373752236,528,0.002275555162,528,0.01688652113,528,0.005250166636,528,0.001379477326,
527,0.3240971267,527,0.002368333517,527,0.01690818556,527,0.005322119687,527,0.001474609715,
526,0.3127849698,526,0.00241208775,526,0.01689254865,526,0.005299819633,526,0.001438818988,
525,0.3033844829,525,0.002481333446,525,0.01700532809,525,0.005344918929,525,0.00150515628,
524,0.2958061695,524,0.002478079172,524,0.01701991819,524,0.005315070506,524,0.001467155293,
523,0.289840281,523,0.002565770876,523,0.01704853587,523,0.005312528927,523,0.00144723407,
522,0.2855451107,522,0.002691767644,522,0.01709578745,522,0.005323639605,522,0.001456636121,
521,0.2826116979,521,0.002702421043,521,0.01717813313,521,0.00528674433,521,0.001537159667,
